aluno_id,school_unit_id,nome,sobrenome,sexo,data_nascimento,serie,turma,data_matricula,responsavel,telefone_contato,email_contato
1,1,João,Silva,M,2010-05-15,5º ano,Turma A,2023-01-10,Maria Silva,11987654321,maria.silva@email.com
2,1,Ana,Santos,F,2011-08-22,4º ano,Turma B,2023-01-12,Pedro Santos,11976543210,pedro.santos@email.com
3,2,Carlos,Ferreira,M,2009-03-30,1º ano EM,Turma C,2023-01-15,Sandra Ferreira,21998765432,sandra.ferreira@email.com
4,2,Beatriz,Oliveira,F,2008-11-07,2º ano EM,Turma D,2023-01-18,Roberto Oliveira,21987654321,roberto.oliveira@email.com
5,3,Marcelo,Costa,M,2012-02-14,3º ano,Turma E,2023-01-20,Juliana Costa,31976543210,juliana.costa@email.com
6,3,Fernanda,Rodrigues,F,2010-09-25,5º ano,Turma F,2023-01-22,André Rodrigues,31965432109,andre.rodrigues@email.com
7,4,Lucas,Almeida,M,2017-06-03,Pré-escola,Turma G,2023-01-25,Camila Almeida,51954321098,camila.almeida@email.com
8,4,Mariana,Souza,F,2018-01-19,Maternal,Turma H,2023-01-28,Felipe Souza,51943210987,felipe.souza@email.com
9,5,Gabriel,Pereira,M,2007-12-11,3º ano EM,Turma I,2023-02-01,Patricia Pereira,41932109876,patricia.pereira@email.com
10,5,Isabela,Gomes,F,2006-07-28,Técnico,Turma J,2023-02-03,Ricardo Gomes,41921098765,ricardo.gomes@email.com
11,6,Thiago,Martins,M,2011-04-09,4º ano,Turma K,2023-02-05,Vanessa Martins,71910987654,vanessa.martins@email.com
12,7,Laura,Cardoso,F,2008-10-17,2º ano EM,Turma L,2023-02-08,Gustavo Cardoso,85909876543,gustavo.cardoso@email.com
13,8,Rafael,Barbosa,M,2009-08-05,1º ano EM,Turma M,2023-02-10,Monica Barbosa,81898765432,monica.barbosa@email.com
14,9,Sofia,Ribeiro,F,2016-03-22,1º ano,Turma N,2023-02-12,Eduardo Ribeiro,62887654321,eduardo.ribeiro@email.com
15,10,Enzo,Carvalho,M,2005-12-30,Técnico,Turma O,2023-02-15,Daniela Carvalho,48876543210,daniela.carvalho@email.com
16,11,Valentina,Fernandes,F,2013-09-14,2º ano,Turma P,2023-02-18,Rogério Fernandes,92865432109,rogerio.fernandes@email.com
17,12,Matheus,Correia,M,2007-06-26,3º ano EM,Turma Q,2023-02-20,Luciana Correia,91854321098,luciana.correia@email.com
18,13,Julia,Teixeira,F,2010-01-08,5º ano,Turma R,2023-02-22,Marcio Teixeira,65843210987,marcio.teixeira@email.com
19,14,Davi,Azevedo,M,2015-11-03,2º ano,Turma S,2023-02-25,Adriana Azevedo,67832109876,adriana.azevedo@email.com
20,15,Sophia,Cavalcanti,F,2006-04-20,Técnico,Turma T,2023-02-28,Fernando Cavalcanti,27821098765,fernando.cavalcanti@email.com
21,16,Miguel,Nunes,M,2014-07-12,3º ano,Turma U,2023-03-02,Cristina Nunes,11976543219,cristina.nunes@email.com
22,17,Helena,Mendes,F,2013-02-28,4º ano,Turma V,2023-03-05,Ricardo Mendes,21965432108,ricardo.mendes@email.com
23,18,Arthur,Pinto,M,2012-09-17,5º ano,Turma W,2023-03-08,Juliana Pinto,31954321097,juliana.pinto@email.com
24,19,Alice,Fonseca,F,2011-11-05,6º ano,Turma X,2023-03-10,Marcelo Fonseca,41943210986,marcelo.fonseca@email.com
